Schedule Name,Element,OCHRE Name,OCHRE Element,Values,Data Source
plug_loads_other,WeekdayScheduleFractions,MELs,weekday_fractions,"0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.038, 0.041, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.044, 0.047, 0.050, 0.051, 0.050, 0.048, 0.044, 0.040, 0.037",Table C.3(1) of ANSI/RESNET/ICC 301-2022 Addendum C
plug_loads_other,WeekendScheduleFractions,MELs,weekend_fractions,"0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.022, 0.024, 0.025, 0.092, 0.092, 0.092, 0.092, 0.092, 0.068, 0.050, 0.035, 0.029, 0.030, 0.029, 0.028, 0.026, 0.023, 0.022",Derived from ANSI/RESNET/ICC 301-2022 Table C.3(1) weekday fractions scaled by ASHRAE 90.2/HERS weekend/weekday occupancy ratio
plug_loads_other,MonthlyScheduleMultipliers,MELs,month_multipliers,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",
plug_loads_tv,WeekdayScheduleFractions,TV,weekday_fractions,"0.014, 0.007, 0.004, 0.003, 0.004, 0.006, 0.010, 0.015, 0.020, 0.025, 0.028, 0.031, 0.033, 0.038, 0.042, 0.046, 0.054, 0.062, 0.080, 0.110, 0.132, 0.125, 0.077, 0.034",Table C.3(1) of ANSI/RESNET/ICC 301-2022 Addendum C
plug_loads_tv,WeekendScheduleFractions,TV,weekend_fractions,"0.009, 0.004, 0.003, 0.002, 0.003, 0.004, 0.006, 0.010, 0.013, 0.060, 0.067, 0.075, 0.080, 0.092, 0.075, 0.057, 0.044, 0.040, 0.051, 0.070, 0.085, 0.080, 0.049, 0.022",Derived from ANSI/RESNET/ICC 301-2022 Table C.3(1) weekday fractions scaled by ASHRAE 90.2/HERS weekend/weekday occupancy ratio
plug_loads_tv,MonthlyScheduleMultipliers,TV,month_multipliers,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",
plug_loads_vehicle,WeekdayScheduleFractions,N/A,weekday_fractions,"0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042",
plug_loads_vehicle,WeekendScheduleFractions,N/A,weekend_fractions,"0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042",
plug_loads_vehicle,MonthlyScheduleMultipliers,N/A,month_multipliers,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",
plug_loads_well_pump,WeekdayScheduleFractions,Well Pump,weekday_fractions,"0.044, 0.023, 0.019, 0.015, 0.016, 0.018, 0.026, 0.033, 0.033, 0.032, 0.033, 0.033, 0.032, 0.032, 0.032, 0.033, 0.045, 0.057, 0.066, 0.076, 0.081, 0.086, 0.075, 0.065",Figure 23 of the `2010 BAHSP <https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/house_simulation.pdf>`_
