Schedule Name,Element,OCHRE Name,OCHRE Element,Values,Data Source
occupants,WeekdayScheduleFractions,Occupancy,weekday_fractions,"0.035, 0.035, 0.035, 0.035, 0.035, 0.059, 0.082, 0.055, 0.027, 0.014, 0.014, 0.014, 0.014, 0.014, 0.019, 0.027, 0.041, 0.055, 0.068, 0.082, 0.082, 0.070, 0.053, 0.035",Table C.3(5) of ANSI/RESNET/ICC 301-2022 Addendum C
occupants,WeekendScheduleFractions,Occupancy,weekend_fractions,"0.028, 0.028, 0.028, 0.028, 0.028, 0.047, 0.065, 0.043, 0.021, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.043, 0.054, 0.065, 0.065, 0.055, 0.042, 0.028",Derived from ANSI/RESNET/ICC 301-2022 Table C.3(5) using ASHRAE 90.2/HERS Reference Home occupancy: 5 PM–8 AM weekdays, all day weekends
occupants,MonthlyScheduleMultipliers,Occupancy,month_multipliers,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",
general_water_use,GeneralWaterUseWeekdayScheduleFractions,N/A,weekday_fractions,"0.023, 0.021, 0.021, 0.025, 0.027, 0.038, 0.044, 0.039, 0.037, 0.037, 0.034, 0.035, 0.035, 0.035, 0.039, 0.043, 0.051, 0.064, 0.065, 0.072, 0.073, 0.063, 0.045, 0.034",Table C.3(5) of ANSI/RESNET/ICC 301-2022 Addendum C
general_water_use,GeneralWaterUseWeekendScheduleFractions,N/A,weekend_fractions,"0.023, 0.021, 0.021, 0.025, 0.027, 0.038, 0.044, 0.039, 0.037, 0.037, 0.034, 0.035, 0.035, 0.035, 0.039, 0.043, 0.051, 0.064, 0.065, 0.072, 0.073, 0.063, 0.045, 0.034",Table C.3(5) of ANSI/RESNET/ICC 301-2022 Addendum C
general_water_use,GeneralWaterUseMonthlyScheduleMultipliers,N/A,month_multipliers,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",
lighting_interior,InteriorWeekdayScheduleFractions,Indoor Lighting,weekday_fractions,"0.012, 0.010, 0.010, 0.010, 0.011, 0.018, 0.030, 0.038, 0.041, 0.041, 0.039, 0.037, 0.036, 0.035, 0.037, 0.041, 0.050, 0.065, 0.086, 0.106, 0.110, 0.079, 0.040, 0.018",Table C.3(3) of ANSI/RESNET/ICC 301-2022 Addendum C
lighting_interior,InteriorWeekendScheduleFractions,Indoor Lighting,weekend_fractions,"0.007, 0.006, 0.006, 0.006, 0.007, 0.011, 0.018, 0.023, 0.025, 0.094, 0.090, 0.085, 0.083, 0.080, 0.063, 0.049, 0.039, 0.040, 0.052, 0.065, 0.067, 0.048, 0.024, 0.011",Derived from ANSI/RESNET/ICC 301-2022 Table C.3(3) weekday fractions scaled by ASHRAE 90.2/HERS weekend/weekday occupancy ratio
lighting_interior,InteriorMonthlyScheduleMultipliers,Indoor Lighting,month_multipliers,"1.19, 1.11, 1.02, 0.93, 0.84, 0.80, 0.82, 0.88, 0.98, 1.07, 1.16, 1.20",Table C.3(4) of ANSI/RESNET/ICC 301-2022 Addendum C
lighting_exterior,ExteriorWeekdayScheduleFractions,Exterior Lighting,weekday_fractions,"0.040, 0.037, 0.037, 0.035, 0.035, 0.039, 0.044, 0.041, 0.031, 0.025, 0.024, 0.024, 0.025, 0.028, 0.030, 0.035, 0.044, 0.056, 0.064, 0.068, 0.070, 0.065, 0.056, 0.047",Table C.3(3) of ANSI/RESNET/ICC 301-2022 Addendum C
lighting_exterior,ExteriorWeekendScheduleFractions,Exterior Lighting,weekend_fractions,"0.028, 0.026, 0.026, 0.024, 0.024, 0.027, 0.030, 0.028, 0.021, 0.065, 0.062, 0.062, 0.065, 0.073, 0.057, 0.047, 0.039, 0.039, 0.044, 0.047, 0.048, 0.045, 0.039, 0.032",Derived from ANSI/RESNET/ICC 301-2022 Table C.3(3) weekday fractions scaled by ASHRAE 90.2/HERS weekend/weekday occupancy ratio
lighting_exterior,ExteriorMonthlyScheduleMultipliers,Exterior Lighting,month_multipliers,"1.19, 1.11, 1.02, 0.93, 0.84, 0.80, 0.82, 0.88, 0.98, 1.07, 1.16, 1.20",Table C.3(4) of ANSI/RESNET/ICC 301-2022 Addendum C
lighting_garage,GarageWeekdayScheduleFractions,Garage Lighting,weekday_fractions,"0.023, 0.019, 0.015, 0.017, 0.021, 0.031, 0.042, 0.041, 0.034, 0.029, 0.027, 0.025, 0.021, 0.021, 0.021, 0.026, 0.031, 0.044, 0.084, 0.117, 0.113, 0.096, 0.063, 0.039",Table C.3(3) of ANSI/RESNET/ICC 301-2022 Addendum C
lighting_garage,GarageWeekendScheduleFractions,Garage Lighting,weekend_fractions,"0.016, 0.013, 0.011, 0.012, 0.015, 0.022, 0.030, 0.029, 0.024, 0.077, 0.072, 0.067, 0.056, 0.056, 0.041, 0.036, 0.028, 0.031, 0.060, 0.083, 0.080, 0.068, 0.045, 0.028",Derived from ANSI/RESNET/ICC 301-2022 Table C.3(3) weekday fractions scaled by ASHRAE 90.2/HERS weekend/weekday occupancy ratio
lighting_garage,GarageMonthlyScheduleMultipliers,Garage Lighting,month_multipliers,"1.19, 1.11, 1.02, 0.93, 0.84, 0.80, 0.82, 0.88, 0.98, 1.07, 1.16, 1.20",Table C.3(4) of ANSI/RESNET/ICC 301-2022 Addendum C
lighting_exterior_holiday,WeekdayScheduleFractions,N/A,weekday_fractions,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008, 0.098, 0.168, 0.194, 0.284, 0.192, 0.037, 0.019",
lighting_exterior_holiday,WeekendScheduleFractions,N/A,weekend_fractions,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008, 0.098, 0.168, 0.194, 0.284, 0.192, 0.037, 0.019",
cooking_range,WeekdayScheduleFractions,Cooking Range,weekday_fractions,"0.008, 0.008, 0.008, 0.008, 0.008, 0.015, 0.023, 0.039, 0.046, 0.046, 0.046, 0.054, 0.062, 0.046, 0.039, 0.054, 0.076, 0.134, 0.114, 0.058, 0.039, 0.031, 0.023, 0.015",Table C.3(1) of ANSI/RESNET/ICC 301-2022 Addendum C
cooking_range,WeekendScheduleFractions,Cooking Range,weekend_fractions,"0.004, 0.004, 0.004, 0.004, 0.004, 0.008, 0.012, 0.021, 0.025, 0.094, 0.094, 0.110, 0.127, 0.094, 0.059, 0.057, 0.053, 0.073, 0.062, 0.031, 0.021, 0.017, 0.012, 0.008",Derived from ANSI/RESNET/ICC 301-2022 Table C.3(1) weekday fractions scaled by ASHRAE 90.2/HERS weekend/weekday occupancy ratio
cooking_range,MonthlyScheduleMultipliers,Cooking Range,month_multipliers,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",
refrigerator,WeekdayScheduleFractions,Refrigerator,weekday_fractions,"0.040, 0.039, 0.038, 0.037, 0.036, 0.036, 0.038, 0.040, 0.041, 0.041, 0.040, 0.040, 0.042, 0.042, 0.042, 0.041, 0.044, 0.048, 0.050, 0.048, 0.047, 0.046, 0.044, 0.041",Figure 16 of the `2010 BAHSP <https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/house_simulation.pdf>`_
refrigerator,WeekendScheduleFractions,Refrigerator,weekend_fractions,"0.040, 0.039, 0.038, 0.037, 0.036, 0.036, 0.038, 0.040, 0.041, 0.041, 0.040, 0.040, 0.042, 0.042, 0.042, 0.041, 0.044, 0.048, 0.050, 0.048, 0.047, 0.046, 0.044, 0.041",Figure 16 of the `2010 BAHSP <https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/house_simulation.pdf>`_
refrigerator,MonthlyScheduleMultipliers,Refrigerator,month_multipliers,"0.837, 0.835, 1.084, 1.084, 1.084, 1.096, 1.096, 1.096, 1.096, 0.931, 0.925, 0.837",Figure 24 of the `2010 BAHSP <https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/house_simulation.pdf>`_
refrigerator,ConstantScheduleCoefficients,N/A,N/A,"-0.487, -0.340, -0.370, -0.361, -0.515, -0.684, -0.471, -0.159, -0.079, -0.417, -0.411, -0.386, -0.240, -0.314, -0.160, -0.121, -0.469, -0.412, -0.091, 0.077, -0.118, -0.247, -0.445, -0.544",Table C.3(2) of ANSI/RESNET/ICC 301-2022 Addendum C
refrigerator,TemperatureScheduleCoefficients,N/A,N/A,"0.019, 0.016, 0.017, 0.016, 0.018, 0.021, 0.019, 0.015, 0.015, 0.019, 0.018, 0.018, 0.016, 0.017, 0.015, 0.015, 0.020, 0.020, 0.017, 0.014, 0.016, 0.017, 0.019, 0.020",Table C.3(2) of ANSI/RESNET/ICC 301-2022 Addendum C
extra_refrigerator,WeekdayScheduleFractions,N/A,weekday_fractions,"0.040, 0.039, 0.038, 0.037, 0.036, 0.036, 0.038, 0.040, 0.041, 0.041, 0.040, 0.040, 0.042, 0.042, 0.042, 0.041, 0.044, 0.048, 0.050, 0.048, 0.047, 0.046, 0.044, 0.041",Figure 16 of the `2010 BAHSP <https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/house_simulation.pdf>`_
extra_refrigerator,WeekendScheduleFractions,N/A,weekend_fractions,"0.040, 0.039, 0.038, 0.037, 0.036, 0.036, 0.038, 0.040, 0.041, 0.041, 0.040, 0.040, 0.042, 0.042, 0.042, 0.041, 0.044, 0.048, 0.050, 0.048, 0.047, 0.046, 0.044, 0.041",Figure 16 of the `2010 BAHSP <https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/house_simulation.pdf>`_
