Boundary Name,Boundary Type,Finish Type,Construction Type,Insulation Details,Received From,Assembly R Value
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-7",vinyl siding,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_ochre_500 - bldg0000346,1.6062583133
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, Uninsulated",vinyl siding,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_national_300 - bldg0000082,0.6556693771
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-11",wood siding,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_ochre_500 - bldg0000016,2.2750757673
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-15",wood siding,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000039,2.7327023784
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-19",wood siding,ConcreteMasonryUnit,"6-in Hollow, R-19",res3.1_ochre_500 - bldg0000118,3.1552407705
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-7",wood siding,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_ochre_500 - bldg0000199,1.7471532413
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, Uninsulated",wood siding,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_national_300 - bldg0000260,0.7960953822
Exterior Wall,Minimal,,,Minimal,Fully_minimal (Denver),87.8815417891
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-11",aluminum siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000326,2.2928131158
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-15",aluminum siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000071,2.7507449786
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-19",aluminum siding,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000015,3.1732649947
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-7",aluminum siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000072,1.7647296149
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, Uninsulated",aluminum siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_ochre_500 - bldg0000117,0.8142473942
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-11",asbestos siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000067,2.2928131158
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-15",asbestos siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000088,2.7507449786
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-19",asbestos siding,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000029,3.1732649947
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-7",asbestos siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000138,1.7647296149
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, Uninsulated",asbestos siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_ochre_500 - bldg0000082,0.8142473942
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-11",composite shingle siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000160,2.2928131158
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-15",composite shingle siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000019,2.7507449786
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-19",composite shingle siding,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000005,3.1732649947
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-7",composite shingle siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000255,1.7647296149
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, Uninsulated",composite shingle siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_ochre_500 - bldg0000254,0.8142473942
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-11",fiber cement siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000020,2.2224845518
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-15",fiber cement siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000129,2.6799673016
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-19",fiber cement siding,StructuralBrick,"12-in, 3-wythe, R-19",MF_300 - bldg0000034,3.1023760471
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-7",fiber cement siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000284,1.6941643511
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, Uninsulated",fiber cement siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_ochre_500 - bldg0000007,0.7434169516
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-11",none,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_national_300 - bldg0000034,2.1874771380
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-15",none,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_national_300 - bldg0000049,2.6452269839
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-19",none,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_national_300 - bldg0000280,3.0671650300
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-7",none,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_national_300 - bldg0000009,1.6590273767
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, Uninsulated",none,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_national_300 - bldg0000023,0.7081415014
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-11",stucco,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_national_300 - bldg0000013,2.2224845518
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-15",stucco,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_national_300 - bldg0000279,2.6799673016
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-19",stucco,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000035,3.1023760471
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-7",stucco,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000215,1.6941643511
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, Uninsulated",stucco,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_national_300 - bldg0000033,0.7434169516
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-11",vinyl siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000496,2.2928131158
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-15",vinyl siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000014,2.7507449786
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-19",vinyl siding,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000089,3.1732649947
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-7",vinyl siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_national_300 - bldg0000165,1.7647296149
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, Uninsulated",vinyl siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_national_300 - bldg0000298,0.8142473942
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-11",wood siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000348,2.4340209347
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-15",wood siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000450,2.8915436662
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-19",wood siding,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000050,3.3142055026
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, R-7",wood siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000116,1.9056523719
Exterior Wall,"StructuralBrick, wood siding, 12-in, 3-wythe, Uninsulated",wood siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_national_300 - bldg0000251,0.9550103152
Exterior Wall,"WoodStud, aluminum siding, R-11",aluminum siding,WoodStud,R-11,res3.1_ochre_500 - bldg0000188,1.7647296149
Exterior Wall,"WoodStud, aluminum siding, R-15",aluminum siding,WoodStud,R-15,res3.1_ochre_500 - bldg0000025,2.0818151164
Exterior Wall,"WoodStud, aluminum siding, R-19",aluminum siding,WoodStud,R-19,res3.1_ochre_500 - bldg0000022,2.6628383487
Exterior Wall,"WoodStud, aluminum siding, R-7",aluminum siding,WoodStud,R-7,res3.1_ochre_500 - bldg0000065,1.4830848413
Exterior Wall,"WoodStud, aluminum siding, Uninsulated",aluminum siding,WoodStud,Uninsulated,res3.1_national_300 - bldg0000052,0.5499976897
Exterior Wall,"WoodStud, asbestos siding, R-11",asbestos siding,WoodStud,R-11,res3.1_ochre_500 - bldg0000034,1.7647296149
Exterior Wall,"WoodStud, asbestos siding, R-15",asbestos siding,WoodStud,R-15,res3.1_ochre_500 - bldg0000009,2.0818151164
Exterior Wall,"WoodStud, asbestos siding, R-19",asbestos siding,WoodStud,R-19,res3.1_ochre_500 - bldg0000013,2.6628383487
Exterior Wall,"WoodStud, asbestos siding, R-7",asbestos siding,WoodStud,R-7,res3.1_ochre_500 - bldg0000002,1.4830848413
Exterior Wall,"WoodStud, asbestos siding, Uninsulated",asbestos siding,WoodStud,Uninsulated,res3.1_ochre_500 - bldg0000011,0.5499976897
Exterior Wall,"WoodStud, brick veneer, R-11",brick veneer,WoodStud,R-11,res3.1_national_300 - bldg0000019,1.7823454543
Exterior Wall,"WoodStud, brick veneer, R-15",brick veneer,WoodStud,R-15,res3.1_national_300 - bldg0000024,2.0992983420
Exterior Wall,"WoodStud, brick veneer, R-19",brick veneer,WoodStud,R-19,res3.1_national_300 - bldg0000011,2.6799673016
Exterior Wall,"WoodStud, brick veneer, R-7",brick veneer,WoodStud,R-7,res3.1_national_300 - bldg0000149,1.5006690680
Exterior Wall,"WoodStud, brick veneer, Uninsulated",brick veneer,WoodStud,Uninsulated,res3.1_national_300 - bldg0000020,0.5674777526
Exterior Wall,"WoodStud, composite shingle siding, R-11",composite shingle siding,WoodStud,R-11,res3.1_national_300 - bldg0000102,1.7647296149
Exterior Wall,"WoodStud, composite shingle siding, R-15",composite shingle siding,WoodStud,R-15,res3.1_ochre_500 - bldg0000258,2.0818151164
Exterior Wall,"WoodStud, composite shingle siding, R-19",composite shingle siding,WoodStud,R-19,res3.1_national_300 - bldg0000192,2.6628383487
Exterior Wall,"WoodStud, composite shingle siding, R-7",composite shingle siding,WoodStud,R-7,res3.1_ochre_500 - bldg0000021,1.4830848413
Exterior Wall,"WoodStud, composite shingle siding, Uninsulated",composite shingle siding,WoodStud,Uninsulated,res3.1_national_300 - bldg0000179,0.5499976897
Exterior Wall,"WoodStud, fiber cement siding, R-11",fiber cement siding,WoodStud,R-11,res3.1_ochre_500 - bldg0000101,1.6941643511
Exterior Wall,"WoodStud, fiber cement siding, R-15",fiber cement siding,WoodStud,R-15,res3.1_ochre_500 - bldg0000033,2.0110534997
Exterior Wall,"WoodStud, fiber cement siding, R-19",fiber cement siding,WoodStud,R-19,res3.1_ochre_500 - bldg0000186,2.5924184593
Exterior Wall,"WoodStud, fiber cement siding, R-7",fiber cement siding,WoodStud,R-7,res3.1_ochre_500 - bldg0000031,1.4124817065
Exterior Wall,"WoodStud, fiber cement siding, Uninsulated",fiber cement siding,WoodStud,Uninsulated,res3.1_ochre_500 - bldg0000006,0.4793364333
Exterior Wall,"WoodStud, stucco, R-11",stucco,WoodStud,R-11,res3.1_national_300 - bldg0000010,1.6941643511
Exterior Wall,"WoodStud, stucco, R-15",stucco,WoodStud,R-15,res3.1_ochre_500 - bldg0000030,2.0110534997
Exterior Wall,"WoodStud, stucco, R-19",stucco,WoodStud,R-19,res3.1_national_300 - bldg0000014,2.5924184593
Exterior Wall,"WoodStud, stucco, R-7",stucco,WoodStud,R-7,res3.1_national_300 - bldg0000181,1.4124817065
Exterior Wall,"WoodStud, stucco, Uninsulated",stucco,WoodStud,Uninsulated,res3.1_national_300 - bldg0000022,0.4793364333
Exterior Wall,"WoodStud, vinyl siding, R-11",vinyl siding,WoodStud,R-11,res3.1_national_300 - bldg0000006,1.7647296149
Exterior Wall,"WoodStud, vinyl siding, R-15",vinyl siding,WoodStud,R-15,res3.1_national_300 - bldg0000063,2.0818151164
Exterior Wall,"WoodStud, vinyl siding, R-19",vinyl siding,WoodStud,R-19,res3.1_national_300 - bldg0000173,2.6628383487
Exterior Wall,"WoodStud, vinyl siding, R-7",vinyl siding,WoodStud,R-7,res3.1_national_300 - bldg0000101,1.4830848413
Exterior Wall,"WoodStud, vinyl siding, Uninsulated",vinyl siding,WoodStud,Uninsulated,res3.1_national_300 - bldg0000017,0.5499976897
Exterior Wall,"WoodStud, wood siding, R-11",wood siding,WoodStud,R-11,res3.1_national_300 - bldg0000002,1.9056523719
Exterior Wall,"WoodStud, wood siding, R-15",wood siding,WoodStud,R-15,res3.1_national_300 - bldg0000016,2.2224845518
Exterior Wall,"WoodStud, wood siding, R-19",wood siding,WoodStud,R-19,res3.1_national_300 - bldg0000012,2.8031841881
Exterior Wall,"WoodStud, wood siding, R-7",wood siding,WoodStud,R-7,res3.1_national_300 - bldg0000004,1.6237346541
Exterior Wall,"WoodStud, wood siding, Uninsulated",wood siding,WoodStud,Uninsulated,res3.1_national_300 - bldg0000003,0.6905357734
Floor,2ft R10 Exterior,,,2ft R10 Exterior,Minimal_slab_2ftR10_ext,1.7634396049
Floor,"2ft R10 Perimeter, R5 Gap",,,2ft R10 Perimeter,Minimal_slab_2ftR10_R5G,1.4653038655
Floor,2ft R5 Exterior,,,2ft R5 Exterior,Minimal_slab_2ftR5_ext,1.5050817952
Floor,"2ft R5 Perimeter, R5 Gap",,,2ft R5 Perimeter,Minimal_slab_2ftR5_R5G,1.3892695781
Floor,"4ft R10 Perimeter, R5 Gap",,,4ft R10 Perimeter,Minimal_slab_4ftR10_R5G,1.7576699467
Floor,4ft R5 Exterior,,,4ft R5 Exterior,Minimal_slab_4ftR5_ext (Denver),1.8933026973
