day_id,start_time,duration,start_soc,weekday,temperature
402,1304,631,53.0,1,-20
415,1164,712,0.0,1,-20
610,945,1186,77.1,1,-20
623,915,1304,77.9,1,-20
1004,1050,840,52.0,1,-20
1481,1067,825,0.0,1,-20
1559,1124,681,0.0,1,-20
1572,1080,786,7.8,1,-20
1674,1032,1393,74.6,1,-20
4311,930,1065,57.6,1,-20
4324,1110,1020,88.6,1,-20
6126,1045,815,0.0,1,-20
7199,958,1282,61.7,1,-20
15754,1155,1265,80.8,1,-20
17262,966,934,16.9,1,-20
20108,1130,690,73.5,1,-20
20121,1044,861,63.0,1,-20
23088,582,1378,66.9,1,-20
23716,930,1350,73.2,1,-20
24905,1425,705,69.4,1,-20
24918,939,1341,69.1,1,-20
27057,1108,795,59.2,1,-20
29522,826,1349,77.0,1,-20
29652,1215,1245,24.2,1,-20
29665,1005,885,61.4,1,-20
30217,1296,721,7.4,1,-20
30760,1355,925,0.0,1,-20
31043,1290,640,43.5,1,-20
31056,1220,775,10.4,1,-20
33355,1085,823,63.4,1,-20
33508,945,1365,85.5,1,-20
33976,500,1415,94.6,1,-20
34695,1080,870,48.7,1,-20
34708,1201,617,73.3,1,-20
34721,1159,816,78.6,1,-20
34760,1080,840,36.4,1,-20
34773,675,1340,81.2,1,-20
34786,1220,640,0.0,1,-20
34812,1120,740,13.8,1,-20
34825,585,1395,84.7,1,-20
34838,980,1045,13.5,1,-20
34851,1255,725,16.8,1,-20
34877,1035,900,0.0,1,-20
34890,765,1256,56.0,1,-20
34903,1005,927,55.4,1,-20
34916,1071,45,0.0,1,-20
34916,1233,745,13.8,1,-20
34929,1088,1010,32.8,1,-20
34942,810,1380,94.0,1,-20
35006,1110,735,0.0,1,-20
35019,947,1233,0.0,1,-20
35032,1040,896,49.4,1,-20
35045,1075,1025,72.8,1,-20
35058,1080,930,0.0,1,-20
35071,1407,669,74.1,1,-20
35097,1050,830,0.0,1,-20
35110,773,1013,0.0,1,-20
35123,1250,670,50.9,1,-20
35162,1005,930,79.0,1,-20
35188,610,1280,65.1,1,-20
35201,855,105,0.0,1,-20
35201,1065,1035,0.0,1,-20
35303,720,60,41.5,1,-20
35316,855,840,66.1,1,-20
35329,1090,830,84.9,1,-20
44251,1080,780,32.2,1,-20
44264,730,1250,65.7,1,-20
45348,1080,675,17.6,1,-20
45361,1080,65,10.5,1,-20
45361,1213,897,0.0,1,-20
45582,1065,785,36.5,1,-20
45732,952,1047,15.9,1,-20
46245,1045,875,34.9,1,-20
47487,940,1410,91.4,1,-20
47500,550,1352,88.7,1,-20
48148,1210,620,17.5,1,-20
48226,1221,1242,67.6,1,-20
48328,1031,867,67.9,1,-20
48341,1122,1398,84.5,1,-20
49434,1060,820,10.4,1,-20
49447,1012,903,47.8,1,-20
49983,1095,1365,84.4,1,-20
52779,680,465,7.1,1,-20
52779,1325,535,36.9,1,-20
53256,849,1190,13.6,1,-20
53269,930,855,53.8,1,-20
53407,1028,870,0.0,1,-20
53420,1215,656,35.2,1,-20
54845,1380,1140,28.2,1,-20
55579,960,810,28.9,1,-20
56370,1050,840,41.8,1,-20
56383,1380,510,0.6,1,-20
57294,1040,850,67.5,1,-20
57754,1120,1055,49.6,1,-20
57767,1095,855,35.9,1,-20
57780,915,885,9.2,1,-20
58579,1130,890,0.0,1,-20
58956,1170,825,54.5,1,-20
59088,960,895,61.4,1,-20
59101,910,980,49.0,1,-20
59192,965,1035,71.9,1,-20
59374,1360,565,76.8,1,-20
61083,1140,710,0.0,1,-20
61096,975,915,55.5,1,-20
62075,1120,730,0.0,1,-20
62088,843,1071,63.7,1,-20
62205,904,1046,15.0,1,-20
62218,1004,1370,88.8,1,-20
66204,650,55,0.0,1,-20
66204,1075,815,0.0,1,-20
67019,484,1421,90.8,1,-20
67032,985,902,57.2,1,-20
67744,909,991,54.5,1,-20
68468,1020,840,14.8,1,-20
68481,1195,905,61.1,1,-20
68722,520,400,43.5,1,-20
68722,1245,615,0.0,1,-20
69481,740,1400,94.2,1,-20
69493,1117,826,92.4,1,-20
70219,1083,862,0.0,1,-20
70232,1043,861,84.7,1,-20
70271,1305,570,67.5,1,-20
70284,1305,600,61.0,1,-20
70648,1130,1015,64.5,1,-20
71467,1139,811,43.1,1,-20
71480,435,479,14.9,1,-20
71592,1079,781,1.9,1,-20
71955,1195,685,35.6,1,-20
71968,927,965,34.8,1,-20
72722,1043,922,0.0,1,-20
73550,870,72,0.0,1,-20
73550,1290,606,36.0,1,-20
73732,942,896,81.0,1,-20
74175,1125,915,7.3,1,-20
74188,1085,955,0.6,1,-20
74835,1105,740,7.3,1,-20
74848,975,985,59.9,1,-20
75108,965,1280,90.6,1,-20
75121,1350,1130,28.4,1,-20
75134,945,840,73.9,1,-20
75382,952,1318,77.1,1,-20
75885,1273,659,83.9,1,-20
75898,1063,869,76.9,1,-20
76931,1250,520,0.0,1,-20
76944,890,1345,64.3,1,-20
77191,934,1301,80.2,1,-20
77865,1055,63,0.0,1,-20
77865,1141,924,0.0,1,-20
77878,1040,854,70.5,1,-20
77891,966,1317,69.6,1,-20
78735,1162,727,35.6,1,-20
78904,1320,1180,68.8,1,-20
78917,1200,945,43.6,1,-20
79307,640,1388,57.5,1,-20
79437,925,1060,0.0,1,-20
79535,855,790,42.4,1,-20
80025,1030,860,51.5,1,-20
80883,1170,915,12.5,1,-20
81078,1289,548,0.0,1,-20
81091,1206,921,56.8,1,-20
81655,1275,1429,94.8,1,-20
81977,1280,730,47.5,1,-20
82068,1021,759,16.4,1,-20
82081,1050,750,0.0,1,-20
82364,1065,70,0.0,1,-20
82364,1355,1085,0.0,1,-20
82377,885,1395,79.5,1,-20
82663,1060,860,79.4,1,-20
82950,1155,735,13.5,1,-20
83884,1034,808,33.1,1,-20
83897,1272,936,0.0,1,-20
84520,1330,1240,83.5,1,-20
85208,1285,985,60.5,1,-20
85496,1125,555,0.0,1,-20
85509,795,945,46.8,1,-20
85587,1040,905,58.9,1,-20
85600,1130,760,0.0,1,-20
85704,1110,1395,82.0,1,-20
86385,1000,285,0.0,1,-20
86385,1405,555,0.0,1,-20
86814,1010,790,33.0,1,-20
86905,1230,810,35.2,1,-20
87035,960,890,57.7,1,-20
87113,1330,545,51.9,1,-20
87126,1080,1260,0.1,1,-20
87568,899,293,0.0,1,-20
87568,1230,820,33.2,1,-20
88231,1320,485,19.2,1,-20
88751,832,1208,65.1,1,-20
90161,1206,672,34.6,1,-20
90278,1061,907,67.3,1,-20
92140,893,892,0.0,1,-20
92153,1157,793,2.5,1,-20
92492,675,1395,85.5,1,-20
92596,1153,1417,88.0,1,-20
92609,540,1260,67.6,1,-20
92778,1182,1428,93.9,1,-20
92791,1245,765,24.7,1,-20
93063,1020,780,0.0,1,-20
93076,690,1335,88.4,1,-20
93205,1190,765,47.6,1,-20
94037,1120,860,32.1,1,-20
95636,1335,865,5.5,1,-20
95928,1100,1260,0.0,1,-20
97514,1260,670,0.0,1,-20
97527,1020,1411,0.0,1,-20
98540,1025,857,80.4,1,-20
98553,855,1072,68.1,1,-20
98566,1170,1131,10.3,1,-20
98696,1110,822,0.0,1,-20
98709,1075,784,23.9,1,-20
99319,940,1070,15.3,1,-20
99332,1110,1270,67.3,1,-20
99436,990,863,28.7,1,-20
99449,60,391,33.8,1,-20
99755,878,1347,79.9,1,-20
99768,1097,798,0.0,1,-20
99872,735,1350,68.7,1,-20
99885,840,1140,0.0,1,-20
99898,978,792,41.4,1,-20
99911,1185,705,0.0,1,-20
99976,825,1175,24.6,1,-20
99989,550,1340,82.3,1,-20
100878,1072,758,84.5,1,-20
100917,1255,696,9.1,1,-20
100928,1090,875,45.5,1,-20
101006,720,1260,50.5,1,-20
101110,1135,695,28.4,1,-20
101123,890,810,0.0,1,-20
101249,955,1370,81.7,1,-20
101312,1064,771,9.1,1,-20
101325,1068,824,91.4,1,-20
101494,750,1280,64.8,1,-20
101819,1055,783,4.6,1,-20
101832,736,1404,90.4,1,-20
101845,100,470,91.5,1,-20
101845,840,375,83.0,1,-20
102599,1155,755,0.0,1,-20
102612,1017,908,51.0,1,-20
103344,935,1090,14.4,1,-20
104645,795,1080,84.1,1,-20
104671,1035,1140,74.1,1,-20
104684,1060,1115,77.5,1,-20
104697,1055,730,0.0,1,-20
104944,1089,926,83.1,1,-20
105665,1305,960,0.0,1,-20
106277,1070,1370,93.3,1,-20
106407,910,1280,7.4,1,-20
106771,1094,847,2.8,1,-20
106862,1100,760,49.8,1,-20
107333,980,1140,56.9,1,-20
107502,1194,701,0.0,1,-20
107944,1065,710,20.8,1,-20
107985,1419,581,33.5,1,-20
107998,900,90,3.2,1,-20
107998,1246,514,0.0,1,-20
108010,1005,1305,72.2,1,-20
108973,1040,865,76.2,1,-20
109038,1155,720,12.9,1,-20
109425,510,45,94.8,1,-20
109425,1040,895,0.0,1,-20
109652,1178,732,67.8,1,-20
109665,873,219,0.0,1,-20
109665,1170,763,0.0,1,-20
109984,1040,840,72.9,1,-20
110291,1050,750,0.0,1,-20
110304,810,1290,49.1,1,-20
111301,940,1070,50.6,1,-20
111530,690,1320,51.1,1,-20
112230,1280,1330,64.3,1,-20
112295,1101,810,10.8,1,-20
112308,1095,900,4.0,1,-20
113215,840,1025,39.6,1,-20
113228,1090,975,71.6,1,-20
114587,865,50,0.0,1,-20
114587,945,1125,0.0,1,-20
115990,1286,784,5.1,1,-20
116003,1286,579,92.2,1,-20
116273,1270,545,41.6,1,-20
116454,1335,705,18.4,1,-20
116776,870,1110,0.0,1,-20
117316,1065,855,17.4,1,-20
117624,1280,715,77.0,1,-20
117956,1007,1053,51.6,1,-20
118086,1110,30,1.7,1,-20
118086,1245,645,0.0,1,-20
118099,615,1395,83.9,1,-20
118177,720,1095,29.9,1,-20
119116,1035,1015,90.9,1,-20
120190,1071,834,0.0,1,-20
120203,925,95,61.0,1,-20
120203,1195,795,0.0,1,-20
120476,1019,849,32.6,1,-20
121070,1125,765,17.0,1,-20
121083,960,870,51.6,1,-20
121108,520,1400,92.4,1,-20
