day_id,start_time,duration,start_soc,weekday,temperature
414,1304,631,53.0,1,-20
427,1164,712,0.0,1,-20
622,945,1186,77.1,1,-20
635,915,1304,77.9,1,-20
1025,1050,840,52.0,1,-20
1520,1067,825,0.0,1,-20
1598,1124,681,0.0,1,-20
1611,1080,786,7.8,1,-20
1715,1032,1393,74.6,1,-20
4359,930,1065,57.6,1,-20
4372,1110,1020,88.6,1,-20
6176,1045,815,0.0,1,-20
7254,958,1282,61.7,1,-20
15804,1155,1265,80.8,1,-20
17309,966,934,16.9,1,-20
20156,1130,690,73.5,1,-20
20169,1044,861,63.0,1,-20
23139,100,395,88.5,1,-20
23139,780,210,77.4,1,-20
23152,582,1378,66.9,1,-20
23785,930,1350,73.2,1,-20
24994,1425,705,69.4,1,-20
25007,939,1341,69.1,1,-20
27163,1108,795,59.2,1,-20
29646,826,1349,77.0,1,-20
29776,1215,1245,24.2,1,-20
29789,1005,885,61.4,1,-20
30341,1296,721,7.4,1,-20
30884,1355,925,0.0,1,-20
31170,1290,640,43.5,1,-20
31183,1220,775,10.4,1,-20
33488,1085,823,63.4,1,-20
33648,945,1365,85.5,1,-20
34813,1080,870,48.7,1,-20
34826,1201,617,73.3,1,-20
34839,1159,816,78.6,1,-20
34878,1080,840,36.4,1,-20
34891,675,1340,81.2,1,-20
34904,1220,640,0.0,1,-20
34930,1120,740,13.8,1,-20
34943,585,1395,84.7,1,-20
34956,980,1045,13.5,1,-20
34969,1255,725,16.8,1,-20
34995,1035,900,0.0,1,-20
35008,765,1256,56.0,1,-20
35021,1005,927,55.4,1,-20
35034,1071,45,0.0,1,-20
35034,1233,745,13.8,1,-20
35047,1088,1010,32.8,1,-20
35060,810,1380,94.0,1,-20
35123,1110,735,0.0,1,-20
35136,947,1233,0.0,1,-20
35149,1040,896,49.4,1,-20
35162,1075,1025,72.8,1,-20
35175,1080,930,0.0,1,-20
35188,1407,669,74.1,1,-20
35214,1050,830,0.0,1,-20
35227,773,1013,0.0,1,-20
35240,1250,670,50.9,1,-20
35279,1005,930,79.0,1,-20
35305,610,1280,65.1,1,-20
35318,855,105,0.0,1,-20
35318,1065,1035,17.9,1,-20
35422,720,60,41.5,1,-20
35435,855,840,66.1,1,-20
35448,1090,830,84.9,1,-20
44405,1080,780,32.2,1,-20
44418,730,1250,65.7,1,-20
45504,1080,675,17.6,1,-20
45517,1080,65,10.5,1,-20
45517,1213,897,0.0,1,-20
45738,1065,785,36.5,1,-20
45894,952,1047,15.9,1,-20
46407,1045,875,34.9,1,-20
47662,940,1410,91.4,1,-20
47675,550,1352,88.7,1,-20
48325,1210,620,17.5,1,-20
48403,1221,1242,67.6,1,-20
48507,1031,867,67.9,1,-20
48520,1122,1398,84.5,1,-20
49625,1060,820,10.4,1,-20
49638,1012,903,47.8,1,-20
50184,1095,1365,84.4,1,-20
52991,680,465,7.1,1,-20
52991,1325,535,69.6,1,-20
53472,849,1190,13.6,1,-20
53485,930,855,53.8,1,-20
53623,1028,870,0.0,1,-20
53636,1215,656,35.2,1,-20
55078,1380,1140,28.2,1,-20
55819,960,810,28.9,1,-20
56607,1050,840,41.8,1,-20
56620,1380,510,0.0,1,-20
57535,1040,850,67.5,1,-20
57990,1120,1055,49.6,1,-20
58003,1095,855,35.9,1,-20
58016,915,885,9.2,1,-20
58806,1130,890,0.0,1,-20
59195,1170,825,54.5,1,-20
59327,960,895,61.4,1,-20
59340,910,980,49.0,1,-20
59431,965,1035,71.9,1,-20
59613,1360,565,76.8,1,-20
61334,1140,710,1.1,1,-20
61347,975,915,55.5,1,-20
62346,1120,730,0.0,1,-20
62359,843,1071,63.7,1,-20
62476,904,1046,15.0,1,-20
62489,1004,1370,88.8,1,-20
66483,650,55,0.0,1,-20
66483,1075,815,0.0,1,-20
67302,484,1421,90.8,1,-20
67315,985,902,57.2,1,-20
68030,909,991,54.5,1,-20
68757,1020,840,14.8,1,-20
68770,1195,905,61.1,1,-20
69011,1245,615,0.0,1,-20
69790,740,1400,94.2,1,-20
69802,1117,826,92.4,1,-20
70537,1083,862,0.0,1,-20
