Time,Total Electric Power (kW),Total Gas Power (therms/hour),Total Reactive Power (kVAR)
2019-01-01T00:00:00-07:00,0.405411739501051,0.0,0.15046091538986422
2019-01-01T00:01:00-07:00,0.405411739501051,0.0,0.15046091538986422
2019-01-01T00:02:00-07:00,0.405411739501051,0.0,0.15046091538986422
2019-01-01T00:03:00-07:00,0.405411739501051,0.0,0.15046091538986422
2019-01-01T00:04:00-07:00,0.405411739501051,0.0,0.15046091538986422
2019-01-01T00:05:00-07:00,0.405411739501051,0.0,0.15046091538986422
2019-01-01T00:06:00-07:00,9.298899135360214,0.0,0.15046091538986422
2019-01-01T00:07:00-07:00,8.132450053599221,0.0,0.15046091538986422
2019-01-01T00:08:00-07:00,7.333493709633587,0.0,0.15046091538986422
2019-01-01T00:09:00-07:00,6.786007879813421,0.0,0.15046091538986422
2019-01-01T00:10:00-07:00,6.410761751770286,0.0,0.15046091538986422
2019-01-01T00:11:00-07:00,6.1535845048885305,0.0,0.15046091538986422
2019-01-01T00:12:00-07:00,5.97740200620983,0.0,0.15046091538986422
2019-01-01T00:13:00-07:00,5.856819863038706,0.0,0.15046091538986422
2019-01-01T00:14:00-07:00,5.77443191246877,0.0,0.15046091538986422
2019-01-01T00:15:00-07:00,5.718300655509574,0.0,0.15046091538986422
2019-01-01T00:16:00-07:00,5.680235321637124,0.0,0.15046091538986422
2019-01-01T00:17:00-07:00,5.654613755013614,0.0,0.15046091538986422
2019-01-01T00:18:00-07:00,5.637575630201474,0.0,0.15046091538986422
2019-01-01T00:19:00-07:00,5.626469538208946,0.0,0.15046091538986422
2019-01-01T00:20:00-07:00,5.619473823669299,0.0,0.15046091538986422
2019-01-01T00:21:00-07:00,5.6153364450423595,0.0,0.15046091538986422
2019-01-01T00:22:00-07:00,5.6131964283604985,0.0,0.15046091538986422
2019-01-01T00:23:00-07:00,5.6124612895064345,0.0,0.15046091538986422
2019-01-01T00:24:00-07:00,5.612722866442613,0.0,0.15046091538986422
2019-01-01T00:25:00-07:00,5.6136995213718395,0.0,0.15046091538986422
2019-01-01T00:26:00-07:00,5.615196452011756,0.0,0.15046091538986422
2019-01-01T00:27:00-07:00,5.617078441389139,0.0,0.15046091538986422
2019-01-01T00:28:00-07:00,5.619251152106972,0.0,0.15046091538986422
2019-01-01T00:29:00-07:00,5.621648290211449,0.0,0.15046091538986422
2019-01-01T00:30:00-07:00,5.624222800863752,0.0,0.15046091538986422
2019-01-01T00:31:00-07:00,5.588898571602194,0.0,0.15046091538986422
2019-01-01T00:32:00-07:00,5.564686131655227,0.0,0.15046091538986422
2019-01-01T00:33:00-07:00,5.548167045850568,0.0,0.15046091538986422
2019-01-01T00:34:00-07:00,5.536978056060607,0.0,0.15046091538986422
2019-01-01T00:35:00-07:00,5.529485627905435,0.0,0.15046091538986422
2019-01-01T00:36:00-07:00,5.5245605655704555,0.0,0.15046091538986422
2019-01-01T00:37:00-07:00,5.521422071272818,0.0,0.15046091538986422
2019-01-01T00:38:00-07:00,5.519529935142652,0.0,0.15046091538986422
2019-01-01T00:39:00-07:00,5.518510047383008,0.0,0.15046091538986422
2019-01-01T00:40:00-07:00,5.516009697189253,0.0,0.15046091538986422
2019-01-01T00:41:00-07:00,5.242921622387889,0.0,0.15046091538986422
2019-01-01T00:42:00-07:00,5.07063535749692,0.0,0.15046091538986422
2019-01-01T00:43:00-07:00,4.962356540154685,0.0,0.15046091538986422
2019-01-01T00:44:00-07:00,4.894458491581515,0.0,0.15046091538986422
2019-01-01T00:45:00-07:00,4.851941687673054,0.0,0.15046091538986422
2019-01-01T00:46:00-07:00,4.825348109329279,0.0,0.15046091538986422
2019-01-01T00:47:00-07:00,4.8087374266318035,0.0,0.15046091538986422
2019-01-01T00:48:00-07:00,4.798386699730402,0.0,0.15046091538986422
2019-01-01T00:49:00-07:00,4.791965029054587,0.0,0.15046091538986422
2019-01-01T00:50:00-07:00,4.788013414998606,0.0,0.15046091538986422
2019-01-01T00:51:00-07:00,4.785618326413529,0.0,0.15046091538986422
2019-01-01T00:52:00-07:00,4.784207318230136,0.0,0.15046091538986422
2019-01-01T00:53:00-07:00,4.7834212235001745,0.0,0.15046091538986422
2019-01-01T00:54:00-07:00,4.783034274525103,0.0,0.15046091538986422
2019-01-01T00:55:00-07:00,4.782904185842507,0.0,0.15046091538986422
2019-01-01T00:56:00-07:00,4.782940956486818,0.0,0.15046091538986422
2019-01-01T00:57:00-07:00,4.783087365633686,0.0,0.15046091538986422
2019-01-01T00:58:00-07:00,4.783306773430263,0.0,0.15046091538986422
2019-01-01T00:59:00-07:00,4.7835754866987035,0.0,0.15046091538986422
