Time,Total Electric Power (kW),Total Gas Power (therms/hour),Total Reactive Power (kVAR),Gas Furnace Electric Power (kW),Gas Furnace Gas Power (therms/hour),Air Conditioner Electric Power (kW),Electric Resistance Water Heater Electric Power (kW),Clothes Washer Electric Power (kW),Clothes Dryer Electric Power (kW),Dishwasher Electric Power (kW),Refrigerator Electric Power (kW),Cooking Range Electric Power (kW),Exterior Lighting Electric Power (kW),Indoor Lighting Electric Power (kW),TV Electric Power (kW),MELs Electric Power (kW),PV Electric Power (kW),Battery Electric Power (kW),EV Electric Power (kW),Temperature - Indoor (C),Unmet HVAC Load (C),Gas Furnace Mode (-),Gas Furnace Setpoint (C),Air Conditioner Mode (-),Air Conditioner Setpoint (C),Electric Resistance Water Heater Mode (-),Electric Resistance Water Heater Setpoint (C),Clothes Washer Mode (-),Clothes Dryer Mode (-),Dishwasher Mode (-),Refrigerator Mode (-),Cooking Range Mode (-),Exterior Lighting Mode (-),Indoor Lighting Mode (-),TV Mode (-),MELs Mode (-),PV Mode (-),Battery Mode (-),Battery SOC (-),EV Mode (-),EV SOC (-)
2019-01-01T02:30:00-07:00,0.3974099297475638,0.0,0.2509126933080661,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05653389927666255,0.0,0.011818176626461983,0.04311254963845424,0.006794520547945205,0.2423342465753424,0.0,-0.01318346291730256,0.0,15.367047024813214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T02:45:00-07:00,0.3954946476738289,0.0,0.2509126933080661,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05653389927666255,0.0,0.011818176626461983,0.04311254963845424,0.006794520547945205,0.2423342465753424,0.0,-0.015098744991037437,0.0,15.117629911274204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T03:00:00-07:00,0.3899389076062017,0.0,0.24908368559668606,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05504616508517143,0.0,0.01117935626827485,0.04311254963845424,0.005095890410958904,0.2423342465753424,0.0,-0.016829300372000068,0.0,14.880006168869189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T03:15:00-07:00,0.3879720472005911,0.0,0.24908368559668606,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05504616508517143,0.0,0.01117935626827485,0.04311254963845424,0.005095890410958904,0.2423342465753424,0.0,-0.018796160777610683,0.0,14.656969916453717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T03:30:00-07:00,0.3859813656472664,0.0,0.24908368559668606,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05504616508517143,0.0,0.01117935626827485,0.04311254963845424,0.005095890410958904,0.2423342465753424,0.0,-0.02078684233093542,0.0,14.444766808247195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T03:45:00-07:00,0.3839411148218157,0.0,0.24908368559668606,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05504616508517143,0.0,0.01117935626827485,0.04311254963845424,0.005095890410958904,0.2423342465753424,0.0,-0.02282709315638608,0.0,14.246287871010104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T04:00:00-07:00,0.38596528137522224,0.0,0.24789349824349316,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0535584308936803,0.0,0.01117935626827485,0.04742380460229966,0.006794520547945205,0.2423342465753424,0.0,-0.025325077512320136,0.0,14.05796555824124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T04:15:00-07:00,0.3837259119937289,0.0,0.24789349824349316,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0535584308936803,0.0,0.01117935626827485,0.04742380460229966,0.006794520547945205,0.2423342465753424,0.0,-0.0275644468938135,0.0,13.882232245049137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T04:30:00-07:00,0.3813783789393668,0.0,0.24789349824349316,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0535584308936803,0.0,0.01117935626827485,0.04742380460229966,0.006794520547945205,0.2423342465753424,0.0,-0.029911979948175547,0.0,13.715256686411081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T04:45:00-07:00,1.275500727257975,0.0,0.24789349824349316,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0535584308936803,1.0,0.01117935626827485,0.04742380460229966,0.006794520547945205,0.2423342465753424,0.0,-0.13578963162956756,0.0,13.560497120003673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
